机构编号,医疗机构名称,医疗机构等级,医疗机构类型,医疗机构地址
H11011101633,北京市房山区河北镇黄土坡社区卫生服务站,未定级,社区卫生服务站,北京市房山区河北镇黄土坡村
H11011101683,北京市房山区康怡养老院医务室,未定级,医务室,北京市房山区青龙湖镇崇各庄村288号
H11011101684,北京市房山区矿机医院,一级,中西医结合医院,北京市房山区房山矿机南路1号4幅9号楼
H11011101688,北京市房山区老年病医院,一级,综合医院,北京市房山区良乡镇长虹西路51号
H11011101478,北京市房山区窦店镇于庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区窦店镇于庄村
H11011101480,北京市房山区佛子庄乡卫生院（北京市房山区佛子庄乡社区卫生服务中心）,一级,乡卫生院,北京市房山区佛子庄乡黑龙关村
H11011101481,北京市房山区佛子庄乡西班各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区佛子庄乡西班各庄村
H11011101482,北京市房山区佛子庄乡长操社区卫生服务站,未定级,社区卫生服务站,北京市房山区佛子庄乡长操村
H11011101483,北京市房山区佛子庄乡佛子庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区佛子庄乡佛子庄村
H11011101484,北京市房山区佛子庄乡北窖社区卫生服务站,未定级,社区卫生服务站,北京市房山区佛子庄乡北窖村
H11011101486,北京市房山区佛子庄乡陈家台社区卫生服务站,未定级,社区卫生服务站,北京市房山区佛子庄乡陈家台村
H11011101609,北京市房山区韩村河镇中心卫生院（北京市房山区韩村河镇社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区韩村河镇韩村河村；北京市房山区韩村河镇岳各庄村
H11011101611,北京市房山区韩村河镇潘庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇潘庄村
H11011101613,北京市房山区韩村河镇上中院社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇上中院村
H11011101616,北京市房山区韩村河镇天开村社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇天开村
H11011101617,北京市房山区韩村河镇下中院社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇下中院村
H11011101618,北京市房山区韩村河镇尤家坟社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇尤家坟村
H11011101619,北京市房山区韩村河镇东南章社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇东南章村
H11011101620,北京市房山区韩村河镇西周各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇西周各庄村
H11011101621,北京市房山区韩村河镇五侯社区卫生服务站,未定级,社区卫生服务中心,北京市房山区韩村河镇五侯村
H11011101622,北京市房山区韩村河镇孤山口社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇孤山口村
H11011101624,北京市房山区韩村河镇西东社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇西东村
H11011101625,北京市房山区韩村河镇西营社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇西营村
H11011101626,北京市房山区韩村河镇曹章社区卫生服务站,未定级,社区卫生服务站,北京市房山区韩村河镇曹章村
H11011101717,北京市房山区琉璃河镇庄头社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇庄头村
H11011101720,北京市房山区琉璃河镇兴礼社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇兴礼村
H11011101721,北京市房山区琉璃河镇东吕村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇东吕村
H11011101722,北京市房山区琉璃河镇李庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇李庄村
H11011101723,北京市房山区琉璃河镇万里社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇万里村
H11011101724,北京市房山区琉璃河镇祖村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇祖村
H11011101725,北京市房山区琉璃河镇鲍庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇鲍庄村
H11011101726,北京市房山区琉璃河镇官庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇官庄村
H11011101727,北京市房山区琉璃河镇平各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇平各庄村
H11011101728,北京市房山区琉璃河镇三街社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇三街村
H11011101689,北京市房山区良乡地区北潞园社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡北潞馨家园8号楼1层101室
H11011101690,北京市房山区良乡地区社区卫生服务中心,一级,社区卫生服务中心,北京市房山区良乡地区苏庄三里18号楼
H11011101695,北京市房山区良乡地区西潞园社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡地区西潞园小区
H11011101703,北京市房山区良乡电业社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡京保公路体检中心对面
H11011101704,北京市房山区良乡医院,三级,综合医院,北京市房山区良乡拱辰大街45号；北京市房山区长虹东路4号
H11011101707,北京市房山区良乡镇后石羊社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡镇后石羊村
H11011101709,北京市房山区良乡镇下禅坊社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡镇下禅坊村
H11011101710,北京市房山区良乡镇小营社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡镇小营村
H11011101712,北京市房山区琉璃河镇立教社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇立教村
H11011101713,北京市房山区琉璃河中心卫生院（北京市房山区琉璃河镇社区卫生服务中心）,一级,中心卫生院,北京市房山区琉璃河镇刘李店村中原大街25号，北京市房山区琉璃河镇东南召村，北京市房山区琉璃河镇窑上村
H11011101729,北京市房山区琉璃河镇务滋村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇务滋村
H11011101730,北京市房山区琉璃河镇北洛村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇北洛村
H11011101731,北京市房山区琉璃河镇周庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇周庄村
H11011101733,北京市房山区琉璃河镇二街村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇二街村
H11011101734,北京市房山区琉璃河镇南白村社区卫生服务站,未定级,社区卫生服务站,北京市房山区琉璃河镇南白村
H11011101736,北京市房山区南窖乡卫生院（北京市房山区南窖乡社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区南窖乡南窖村
H11011101738,北京市房山区南窖乡南尚岗新村社区卫生服务站,未定级,社区卫生服务站,北京市房山区南窖乡南尚岗新村
H11011101739,北京市房山区南窖乡水峪村社区卫生服务站,未定级,社区卫生服务站,北京市房山区南窖乡水峪村
H11011101740,北京市房山区南窖乡中窖村社区卫生服务站,未定级,社区卫生服务站,北京市房山区南窖乡中窖村
H11011101741,北京市房山区蒲洼乡卫生院（北京市房山区蒲洼乡社区卫生服务中心）,一级,乡卫生院,北京市房山区蒲洼乡蒲洼村
H11011101743,北京市房山区桥梁厂职工医院,一级,综合医院,北京市房山区阎村镇大件路1号
H11011101744,北京市房山区青龙湖镇中心卫生院（北京市房山区青龙湖镇社区卫生服务中心）,一级,中心卫生院,北京市房山区青龙湖镇豆各庄村、北京市房山区青龙湖镇坨里村
H11011101745,北京市房山区青龙湖镇南观社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇南观村
H11011101746,北京市房山区青龙湖镇小苑上社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇小苑上村
H11011101747,北京市房山区青龙湖镇上万社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇上万村
H11011101748,北京市房山区青龙湖镇果各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇果各庄村
H11011101749,北京市房山区青龙湖镇焦各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇焦各庄村
H11011101750,北京市房山区青龙湖镇沙窝村社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇沙窝村
H11011101751,北京市房山区青龙湖镇西石府社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇西石府村
H11011101752,北京市房山区青龙湖镇大苑村社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇大苑村
H11011101753,北京市房山区青龙湖镇北车营社区卫生服务站,未定级,社区卫生服务站,北京市房山区青龙湖镇北车营村
H11011101754,北京市房山区上华中西医结合医院,一级,中西医结合医院,北京市房山区窦店镇腾龙家园五区6号
H11011101755,北京市房山区十渡中心卫生院（北京市房山区十渡镇社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区十渡镇八渡村
H11011101756,北京市房山区十渡镇西石门村社区卫生服务站,未定级,社区卫生服务站,北京市房山区十渡镇西石门村
H11011101757,北京市房山区十渡镇六渡社区卫生服务站,未定级,社区卫生服务站,北京市房山区十渡镇六渡村
H11011101758,北京市房山区十渡镇十渡社区卫生服务站,未定级,社区卫生服务站,北京市房山区十渡镇十渡村
H11011101759,北京市房山区十渡镇平峪社区卫生服务站,未定级,社区卫生服务站,北京市房山区十渡镇平峪村
H11011101760,北京市房山区石楼镇中心卫生院（北京市房山区石楼镇社区卫生服务中心）,一级,中心卫生院,北京市房山区石楼镇石楼村北
H11011101761,北京市房山区石楼镇夏村社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇夏村
H11011101762,北京市房山区石楼镇支楼村社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇支楼村
H11011101796,北京市房山区阎村镇万紫嘉园社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇万紫嘉园小区
H11011101786,北京市房山区天毓山庄养老服务中心医务室,未定级,医务室,北京市房山区周口店镇辛庄村（天毓山庄内）
H11011101797,北京市房山区阎村镇开古庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇开古庄村
H11011101787,北京市房山区西潞街道养老照料中心门诊部,未定级,综合门诊部,北京市房山区西潞街道安庄村北
H11011101798,北京市房山区阎村镇焦庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇焦庄村
H11011101788,北京市房山区霞云岭乡卫生院（北京市房山区霞云岭社区卫生服务中心）,一级,乡卫生院,北京市房山区霞云岭乡霞云岭村
H11011101799,北京市房山区阎村镇小十三里社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇小十三里村
H11011101789,北京市房山区霞云岭乡堂上村社区卫生服务站,未定级,社区卫生服务站,北京市房山区霞云岭乡堂上村
H11011101800,北京市房山区阎村镇张庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇张庄村
H11011101790,北京市房山区霞云岭乡四马台社区卫生服务站,未定级,社区卫生服务站,北京市房山区霞云岭乡四马台村
H11011101801,北京市房山区阎村镇肖庄村社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇肖庄村
H11011101791,北京市房山区新镇原新中路社区卫生服务站,未定级,社区卫生服务站,北京市房山区新镇原新中路
��村
H11011101803,北京市房山区阎村镇大十三里社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇大十三里村
H11011101792,北京市房山区星城健德三里社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山健德三里26号楼西侧
H11011101804,北京市房山区阎村镇吴庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇吴庄村
H11011101793,北京市房山区阎村镇后十三里村社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇后十三里村
H11011101805,北京市房山区阎村镇北坊社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇北坊村
H11011101794,北京市房山区阎村镇中心卫生院（北京市房山区阎村镇社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区阎村镇紫园南路
H11011101795,北京市房山区阎村镇大紫草坞社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇大紫草坞村
H11011101763,北京市房山区石楼镇吉羊村社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇吉羊村
H11011101764,北京市房山区石楼镇梨园店社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇梨园店村
H11011101766,北京市房山区石楼镇襄驸马庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇襄驸马庄村
H11011101771,北京市房山区石楼镇坨头村社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇坨头村
H11011101773,北京市房山区石楼镇二站村社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇二站村
H11011101774,北京市房山区石楼镇大次洛社区卫生服务站,未定级,社区卫生服务站,北京市房山区石楼镇大次洛村
H11011101777,北京市房山区史家营乡卫生院（北京市房山区史家营乡社区卫生服务中心）,一级,乡卫生院,北京市房山区史家营乡北涧村
H11011101780,北京市房山区史家营乡金鸡台社区卫生服务站,未定级,社区卫生服务站,北京市房山区史家营乡金鸡台村
H11011101784,北京市房山区史家营乡史家营村社区卫生服务站,未定级,社区卫生服务站,北京市房山区史家营乡史家营村
H11011101785,北京市房山区史家营乡莲花庵社区卫生服务站,未定级,社区卫生服务站,北京市房山区史家营乡莲花庵村
H11011101806,北京市房山区阎村镇大董村社区卫生服务站,未定级,社区卫生服务站,北京市房山区阎村镇大董村
H11011101807,北京市房山区燕山医院（北京市房山区燕山地区社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区燕山燕房路50号
H11011101808,北京市房山区燕山迎风社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山迎风五里14号楼北侧
H11011101809,北京市房山区燕山向阳街道凤凰亭社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山迎风西路3号
H11011101810,北京市房山区燕山羊耳峪北里社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山东风羊耳峪北里
H11011101811,北京市房山区燕山星城街道社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山星城街道建德一里中街3号
H11011101812,北京市房山区燕山向阳社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山迎风西路21号
H11011101813,北京市房山区燕山杏花西里社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山杏花西里35号
H11011101814,北京市房山区燕山东风街道羊耳峪社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山双泉路5号
H11011101815,北京市房山区燕山岗北路门诊部,未定级,综合门诊部,北京市房山区燕山富燕新村物业综合楼
H11011101826,北京市房山区长沟中心卫生院（北京市房山区长沟镇社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区长沟镇太和庄村
H11011101827,北京市房山区长沟镇北正社区卫生服务站,未定级,社区卫生服务站,北京市房山区长沟镇北正村
H11011101828,北京市房山区长沟镇北良社区卫生服务站,未定级,社区卫生服务站,北京市房山区长沟镇北良村
H11011101829,北京市房山区长沟镇双磨社区卫生服务站,未定级,社区卫生服务站,北京市房山区长沟镇双磨村
H11011101830,北京市房山区长沟镇坟庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区长沟镇坟庄村
H11011101831,北京市房山区长阳镇卫生院（北京市房山区长阳镇社区卫生服务中心）,一级,中心卫生院,北京市房山区长阳镇政府西侧、北京市房山区长阳镇葫芦垡村
H11011101832,北京市房山区长阳镇朱岗子社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇朱岗子村
H11011101833,北京市房山区长阳镇公议庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇公议庄村
H11011101834,北京市房山区长阳镇葫芦垡社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇葫芦垡村
H11011101835,北京市房山区长阳镇阎仙垡社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇阎仙垡村
H11011101816,北京市房山区燕山迎风街道宏塔社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山迎风北庄南里14号楼西侧
H11011101817,北京市房山区燕山东风街道东岭社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山东风街道羊耳峪里西巷16号
H11011101818,北京市房山区燕山化一门诊部,未定级,综合门诊部,北京燕山迎风南路10号
H11011101819,北京市房山区燕山栗园街道社区卫生服务站,未定级,社区卫生服务站,北京市房山区燕山栗园二巷2号
H11011101820,北京市房山区张坊镇南白岱社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇南白岱村
H11011101821,北京市房山区张坊镇西白岱社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇西白岱村
H11011101822,北京市房山区张坊镇广录庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇广录庄村
H11011101823,北京市房山区张坊镇北白岱社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇北白岱村
H11011101824,北京市房山区张坊镇东关上社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇东关上村
H11011101825,北京市房山区张坊镇千河口社区卫生服务站,未定级,社区卫生服务站,北京市房山区张坊镇千河口村
H11011101836,北京市房山区长阳镇长龙苑社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇大宁二路6号院3号楼4单元101室底商
H11011101837,北京市房山区长阳镇碧波园社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇碧波园小区
H11011101838,北京市房山区长阳镇水碾屯社区卫生服务站,未定级,社区卫生服务站,北京市房山区长阳镇水碾屯村
H11011101839,北京市房山区中医医院（北京中医药大学房山医院）,三级,中医（综合）医院,北京市房山区城关街道保健路4号;分院:房山区良乡镇西潞南大街甲8号;房山区燕山迎风南路甲6号;房山区燕山羊耳峪北里6号楼西侧;房山区良乡月华北大街10号;北京市房山区城关镇南统建2号楼西
H11011101850,北京市房山区周口店中心卫生院（北京市房山区周口店镇社区卫生服务中心）,一级,社区卫生服务中心,北京市房山区周口店大街28号
H11011101851,北京市房山区周口店镇山口社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇山口村
H11011101853,北京市房山区周口店镇南韩继社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇南韩继村
H11011101854,北京市房山区周口店镇瓦井社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇瓦井村
H11011101855,北京市房山区周口店镇大韩继社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇大韩继村
H11011101856,北京市房山区周口店镇周口村社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇周口村
H11011101857,北京市房山区周口店镇良各庄社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇良各庄村
H11011101858,北京市房山区周口店镇娄子水社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇娄子水村
H11011101859,北京市房山区周口店镇黄山店社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇黄山店村
H11011101860,北京市房山区周口店镇周口店社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇周口店村
H11011101861,北京首儿窦店儿童医院,二级,儿童医院,北京市房山区窦店镇田家园2区1号商业楼
H11011101862,北京送变电地区卫生所,未定级,卫生所（室）,北京市房山区良乡地区办事处明源路
H11011101863,北京同济门诊部,未定级,中医（综合）门诊部,北京市房山区良乡北潞园北潞春E-6号楼
H11011101864,北京燕化医院,三级,综合医院,北京市房山区燕山迎风街15号
H11011101865,北京燕化医院化工四厂综合门诊部,未定级,综合门诊部,北京市房山区城关德润街6号院9号楼
H11011101866,北京张锁中医骨伤医院,一级,骨科医院,北京市房山区窦店镇京南嘉园1号商业楼1层105;北京市房山区良乡地区苏庄三里8号楼
H11011101867,北京中科西苑医院,一级,中医（综合）医院,北京市房山区长阳镇嘉州水郡209号
H11011101868,北京中能建医院,一级,综合医院,北京市房山区良乡体育场路1号
H11011101869,北京市房山区良乡地区月华社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡西潞南里甲4号
H11011101870,北京市房山区良乡地区西街社区卫生服务站,未定级,社区卫生服务站,北京市房山区拱辰街道文化路12-2
H11011101871,北京市房山区良乡镇黑古台村社区卫生服务站,未定级,社区卫生服务站,北京市房山区良乡镇黑古台村
H11011101872,北京市房山区良乡镇卫生院（北京市房山区良乡镇社区卫生服务中心）,一级,乡卫生院,北京市房山区良乡镇官道村
H11011101873,北京金海中医医院,一级,中医（综合）医院,北京市房山区张坊镇张坊村
H11011102256,北京市房山区国爱老年人服务中心医务室,未定级,医务室,北京市房山区阎村镇紫园路14号
H11011102307,北京市房山区良乡镇福港老年服务中心医务室,未定级,医务室,北京市房山区良乡镇下禅坊村村南
H11011102308,北京中研中医院,一级,中西医结合医院,北京市房山区良乡地区玉竹园一里畅龙苑1号商业楼
H11011102309,北京市房山区妇幼保健院（北京市房山区妇幼保健计划生育服务中心）,二级,妇幼保健院,北京市房山区良乡苏庄东街5号
H11011102310,北京市房山区西潞街道社会福利中心医务室,未定级,医务室,北京市房山区西潞街道太平庄村
H11011102417,北京市房山区弘远慈航养老服务中心医务室,未定级,医务室,北京市房山区城关街道东瓜地村东兴大街甲6号
H11011102311,北京市亚新特种建材公司门诊部,未定级,综合门诊部,京广线房山区窦店火车站东侧
H11011102437,北京市房山区大安山乡卫生院（北京市房山区大安山乡社区卫生服务中心）,一级,乡卫生院,北京市房山区大安山乡大安山村
H11011102312,北京市房山区拱辰街道社会福利中心医务室,未定级,医务室,北京市房山区拱辰街道梨村村西
H11011102642,北京市房山区韩村河镇二龙岗村卫生室,未定级,村卫生室,北京市房山区韩村河镇二龙岗村
H11011102313,北京市房山区张坊中心卫生院（北京市房山区张坊镇社区卫生服务中心）,一级,中心卫生院,北京市房山区张坊镇张坊村
H11011102643,北京市房山区韩村河镇罗家峪村卫生室,未定级,村卫生室,北京市房山区韩村河镇罗家峪村
H11011102958,北京市房山区第一医院,二级,综合医院,北京市房山区城关房窑路6号；分址：北京市房山区城关兴房大街5号；北京市房山区良乡镇长虹西路51号；北京市房山区阎村镇大件路1-7号；北京市房山区良乡行宫小区三里10号
H11011102315,北京市房山区小康之家养老服务中心医务室,未定级,医务室,房山区长阳镇加州水郡西区205号楼（北段）
H11011103005,北京市房山区长阳镇恭和社区卫生服务中心,一级,社区卫生服务中心,北京市房山区长阳镇悦都新苑四区三号楼
H11011102316,北京市房山区结核病防治所（北京市房山区结核病医院）,一级,结核病防治所（站、中心）,北京市房山区长阳镇阳城环路16号
H11011103017,北京市房山区周口店镇新街社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇新街村
H11011102317,北京市房山区精神病医院（北京市房山区精神卫生保健院）,二级,精神病医院,北京市房山区周口店大街28号；北京市房山区长阳镇葫芦垡村村委会西
H11011201105,首都医科大学附属北京潞河医院,三级,综合医院,北京市通州区新华南路82号/北京市通州区翠屏西路43-45号/玉带河西街14号楼/北京市通州区张家湾镇后坨村186号
H11011102377,长沟峪医院向阳社区卫生服务站,未定级,社区卫生服务站,北京市房山区周口店镇长沟峪煤矿向阳楼家属区
H11011201106,首都医科大学附属北京胸科医院,三级,胸科医院,通州区北关大街9号院
H11011201107,北京安琪妇产医院,二级,妇产（科）医院,北京市通州区云景南大街104号
H11011201130,北京市通州区梨园镇大稿村社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇中泽雅园7号楼8号10号底商
H11011201131,北京市通州区梨园镇三间房社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇梨园东里北区3号楼北侧平房
H11011201132,北京市通州区梨园镇通大家园社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇九棵树西路188号20号公建
H11011201133,北京市通州区梨园镇翠屏北里社区卫生服务站,未定级,社区卫生服务站,北京市通州区怡乐北街10号楼112室
H11011201134,北京市通州区梨园镇云景里社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇云景里小区20楼底商23号、24号、25号
H11011201135,北京市通州区梨园镇半壁店社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇半壁店靓景明居3号楼338、340号
H11011201136,北京市通州区梨园镇龙鼎园社区卫生服务站,未定级,社区卫生服务站,北京市通州区云景南大街103-107号
H11011201137,北京市通州区潞城镇紫荆园社区卫生服务站,未定级,社区卫生服务站,北京市通州区潞城镇紫运园小区
H11011201138,北京市通州区潞城镇三元小区社区卫生服务站,未定级,社区卫生服务站,北京市通州区潞城镇三元村9号楼712室
H11011201139,北京市通州区潞城镇运河广场社区卫生服务站,未定级,社区卫生服务站,北京市通州区通胡大街68号2号楼2-04-1B
H11011201108,北京市通州区精神病医院,二级,精神病医院,北京市通州区宋庄镇北侧
H11011201109,北京市通州区新华医院,二级,综合医院,北京市通州区九棵树东路386号
H11011201111,北京北方红旗机电有限公司医院,一级,综合医院,北京市通州区佟麟阁街9号
H11011201113,北京京通医院,一级,综合医院,北京市通州区玉带河大街4号
H11011201114,北京马驹桥中医医院,一级,中医（综合）医院,北京市通州区马驹桥镇新海东路11号楼102、13号楼102
H11011201115,北京市红十字会颐年护老院医务室,未定级,医务室,北京市通州区永顺镇乔庄东区1号院
H11011201116,北京市通州区北苑街道北苑社区卫生服务站,未定级,社区卫生服务站,北京市通州区后南仓小区25号楼北侧平房
H11011201117,北京市通州区北苑街道经委小区社区卫生服务站,未定级,社区卫生服务站,北京市通州区杨庄北街2号2幢1至4层全部
H11011201118,北京市通州区北苑街道怡佳家园社区卫生服务站,未定级,社区卫生服务站,北京市通州区滨惠南二街100号、102号、104号
H11011201119,北京市通州区漷县镇高庄社区卫生服务站,未定级,社区卫生服务站,北京市通州区漷县镇高庄村
H11011201120,北京市通州区漷县镇黄厂铺村社区卫生服务站,未定级,社区卫生服务站,北京市通州区漷县镇黄厂铺村371甲号
H11011201121,北京市通州区漷县镇漷县社区卫生服务中心（北京市通州区漷县卫生院）,一级,综合医院,北京市通州区漷县镇
H11011201122,北京市通州区漷县镇觅子店社区卫生服务中心（北京市通州区觅子店卫生院）,一级,综合医院,北京市通州区漷县镇觅子店村村北/北京市通州区漷县镇社会福利中心院内
H11011201123,北京市通州区梨园地区高楼金村社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园地区高楼金第小区建工1号
H11011201124,北京市通州区梨园地区群芳园社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园西里33号楼1层10
H11011201125,北京市通州区梨园地区刘老公庄社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇刘老公庄村
H11011201126,北京市通州区梨园地区小稿村社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园镇小稿村
H11011201127,北京市通州区梨园地区小街村社区卫生服务站,未定级,社区卫生服务站,北京市通州区梨园地区东方华业玫瑰A17#
H11011201128,北京市通州区梨园地区砖厂小区社区卫生服务站,未定级,社区卫生服务站,北京市通州区砖厂南里23号楼105房间
H11011201129,北京市通州区梨园镇梨园社区卫生服务中心（北京市通州区梨园卫生院）,一级,综合医院,北京市通州区葛布店南里10、11号楼；通州区群芳园路口往东200米（梨园敬老院底商）；颐瑞西里3号楼群芳园中二街132#、134#、136#、138#、140#；通州区半壁店大街25号京洲园320号楼2层11号
H11011201151,北京市通州区新华街道新华社区卫生服务站,未定级,社区卫生服务站,北京市通州区北大街23号
H11011201153,北京市通州区永乐店镇应寺村社区卫生服务站,未定级,社区卫生服务站,北京市通州区永乐店镇应寺村
H11011201154,北京市通州区永乐店镇小务社区卫生服务站,未定级,社区卫生服务站,北京市通州区永乐店镇小务村
H11011201155,北京市通州区永乐店镇柴厂屯社区卫生服务站,未定级,社区卫生服务站,北京市通州区永乐店镇柴厂屯村
H11011201156,北京市通州区永乐店镇永乐店社区卫生服务中心（北京市通州区永乐店卫生院）,一级,综合医院,北京市通州区永乐店镇永乐店大街20号
H11011201157,北京市通州区永顺地区西潞苑社区卫生服务站,未定级,社区卫生服务站,北京市通州区永顺镇西潞苑小区51号楼甲10号
H11011201158,北京市通州区永顺地区西马庄社区卫生服务站,未定级,社区卫生服务站,北京市通州区永顺地区西马庄南门
H11011201159,北京市通州区永顺地区八里桥社区卫生服务站,未定级,社区卫生服务站,北京市通州区八里桥市场内平房
H11011201160,北京市通州区永顺地区京贸社区卫生服务站,未定级,社区卫生服务站,北京市通州区永顺地区八里桥南街16号京贸国际公寓B座底商
